datasetID,locality,year,scientificName,vernacularName
nvdimp,丹大野生動物重要棲息環境,2003,Osmunda claytoniana,絨假紫萁
nvdimp,丹大野生動物重要棲息環境,2003,Phytolacca americana,美洲商陸
nvdimp,丹大野生動物重要棲息環境,2003,Selaginella leptophylla,膜葉卷柏
nvdimp,丹大野生動物重要棲息環境,2003,Abies kawakamii,臺灣冷杉
nvdimp,丹大野生動物重要棲息環境,2003,Berberis kawakamii,臺灣小檗
nvdimp,丹大野生動物重要棲息環境,2003,Chamaecyparis obtusa var. formosana,臺灣扁柏
nvdimp,丹大野生動物重要棲息環境,2003,Gastrochilus formosanus,臺灣松蘭
nvdimp,丹大野生動物重要棲息環境,2003,Dendropanax dentiger,臺灣樹參
nvdimp,丹大野生動物重要棲息環境,2003,Eupatorium cannabinum subsp. asiaticum,臺灣澤蘭
nvdimp,丹大野生動物重要棲息環境,2003,Pourthiaea lucida,臺灣石楠
nvdimp,丹大野生動物重要棲息環境,2003,Cephalotaxus wilsoniana,臺灣粗榧
nvdimp,丹大野生動物重要棲息環境,2003,Cinnamomum insularimontanum,臺灣肉桂
nvdimp,丹大野生動物重要棲息環境,2003,Fragaria hayatae,臺灣草莓
nvdimp,丹大野生動物重要棲息環境,2003,Veratrum formosanum,臺灣藜蘆
nvdimp,丹大野生動物重要棲息環境,2003,Rhus ambigua,臺灣藤漆
nvdimp,丹大野生動物重要棲息環境,2003,Malus doumeri,臺灣蘋果
nvdimp,丹大野生動物重要棲息環境,2003,Alnus formosana,臺灣赤楊
nvdimp,丹大野生動物重要棲息環境,2003,Syzygium formosanum,臺灣赤楠
nvdimp,丹大野生動物重要棲息環境,2003,Tsuga chinensis var. formosana,臺灣鐵杉
nvdimp,丹大野生動物重要棲息環境,2003,Picea morrisonicola,臺灣雲杉
nvdimp,丹大野生動物重要棲息環境,2003,Pseudotsuga wilsoniana,臺灣黃杉
nvdimp,丹大野生動物重要棲息環境,2003,Gentiana davidii var. formosana,臺灣龍膽
nvdimp,丹大野生動物重要棲息環境,2003,Ilex bioritsensis,苗栗冬青
nvdimp,丹大野生動物重要棲息環境,2003,Rubus trianthus,苦懸鉤子
nvdimp,丹大野生動物重要棲息環境,2003,Eurya leptophylla,薄葉柃木
nvdimp,丹大野生動物重要棲息環境,2003,Elaeagnus glabra,藤胡頹子
nvdimp,丹大野生動物重要棲息環境,2003,Aralia bipinnata,裡白蔥木
nvdimp,丹大野生動物重要棲息環境,2003,Rhododendron oldhamii,金毛杜鵑
nvdimp,丹大野生動物重要棲息環境,2003,Osmanthus lanceolatus,銳葉木犀
nvdimp,丹大野生動物重要棲息環境,2003,Oreocnide pedunculata,長梗紫麻
nvdimp,丹大野生動物重要棲息環境,2003,Cirsium arisanense,阿里山薊
nvdimp,丹大野生動物重要棲息環境,2003,Lycianthes biflora,雙花龍葵
nvdimp,丹大野生動物重要棲息環境,2003,Ilex yunnanensis var. parvifolia,雲南冬青
nvdimp,丹大野生動物重要棲息環境,2003,Viburnum propinquum,高山莢迷
nvdimp,丹大野生動物重要棲息環境,2003,Rosa transmorrisonensis,高山薔薇
nvdimp,丹大野生動物重要棲息環境,2003,Polystichum piceopaleaceum,黑鱗耳蕨
nvdimp,丹大野生動物重要棲息環境,2003,Paris polyphylla,七葉一枝花
nvdimp,丹大野生動物重要棲息環境,2003,Pteris fauriei,傅氏鳳尾蕨
nvdimp,丹大野生動物重要棲息環境,2003,Celastrus punctatus,光果南蛇藤
nvdimp,丹大野生動物重要棲息環境,2003,Asplenium ensiforme,劍葉鐵角蕨
nvdimp,丹大野生動物重要棲息環境,2003,Taxus sumatrana,南洋紅豆杉
nvdimp,丹大野生動物重要棲息環境,2003,Dryopteris varia,南海鱗毛蕨
nvdimp,丹大野生動物重要棲息環境,2003,Goodyera nankoensis,南湖斑葉蘭
nvdimp,丹大野生動物重要棲息環境,2003,Goodyera foliosa,厚唇斑葉蘭
nvdimp,丹大野生動物重要棲息環境,2003,Dryopteris lepidopoda,厚葉鱗毛蕨
nvdimp,丹大野生動物重要棲息環境,2003,Schizophragma integrifolium var. fauriei,圓葉鑽地風
nvdimp,丹大野生動物重要棲息環境,2003,Hydrangea integrifolia,大枝掛繡球
nvdimp,丹大野生動物重要棲息環境,2003,Goodyera daibuzanensis,大武斑葉蘭
nvdimp,丹大野生動物重要棲息環境,2003,Bidens alba var. radiata,大花咸豐草
nvdimp,丹大野生動物重要棲息環境,2003,Celastrus kusanoi,大葉南蛇藤
nvdimp,丹大野生動物重要棲息環境,2003,Aristolochia kaempferi,大葉馬兜鈴
nvdimp,丹大野生動物重要棲息環境,2003,Pteris cretica,大葉鳳尾蕨
nvdimp,丹大野生動物重要棲息環境,2003,Blumea riparia var. megacephala,大頭艾納香
nvdimp,丹大野生動物重要棲息環境,2003,Pteris dispar,天草鳳尾蕨
nvdimp,丹大野生動物重要棲息環境,2003,Ilex sugerokii var. brevipedunculata,太平山冬青
nvdimp,丹大野生動物重要棲息環境,2003,Rosa pricei,太魯閣薔薇
nvdimp,丹大野生動物重要棲息環境,2003,Rhododendron mariesii,守城滿山紅
nvdimp,丹大野生動物重要棲息環境,2003,Athyrium oppositipinnum,對生蹄蓋蕨
nvdimp,丹大野生動物重要棲息環境,2003,Aniselytron agrostoides,小穎溝稃草
nvdimp,丹大野生動物重要棲息環境,2003,Desmodium microphyllum,小葉山螞蝗
nvdimp,丹大野生動物重要棲息環境,2003,Anaphalis nepalensis,尼泊爾籟簫
nvdimp,丹大野生動物重要棲息環境,2003,Symplocos heishanensis,平遮那灰木
nvdimp,丹大野生動物重要棲息環境,2003,Ampelopsis cantoniensis,廣東山葡萄
nvdimp,丹大野生動物重要棲息環境,2003,Vittaria taeniophylla,廣葉書帶蕨
nvdimp,丹大野生動物重要棲息環境,2003,Symplocos migoi,擬日本灰木
nvdimp,丹大野生動物重要棲息環境,2003,Clematis uncinata,柱果鐵線蓮
nvdimp,丹大野生動物重要棲息環境,2003,Rubus liui,柳氏懸鉤子
nvdimp,丹大野生動物重要棲息環境,2003,Rubus kawakamii,桑葉懸鉤子
nvdimp,丹大野生動物重要棲息環境,2003,Dryopteris atrata,桫欏鱗毛蕨
nvdimp,丹大野生動物重要棲息環境,2003,Setaria palmifolia,棕葉狗尾草
nvdimp,丹大野生動物重要棲息環境,2003,Hieracium morii,森氏山柳菊
nvdimp,丹大野生動物重要棲息環境,2003,Loranthus delavayi,椆樹桑寄生
nvdimp,丹大野生動物重要棲息環境,2003,Rubus pungens var. oldhamii,毛刺懸鉤子
nvdimp,丹大野生動物重要棲息環境,2003,Camellia transnokoensis,泛能高山茶
nvdimp,丹大野生動物重要棲息環境,2003,Desmodium sequax,波葉山螞蝗
nvdimp,丹大野生動物重要棲息環境,2003,Ampelopsis brevipedunculata var. hancei,漢氏山葡萄
nvdimp,丹大野生動物重要棲息環境,2003,Damnacanthus angustifolius,無刺伏牛花
nvdimp,丹大野生動物重要棲息環境,2003,Sedum morrisonense,玉山佛甲草
nvdimp,丹大野生動物重要棲息環境,2003,Photinia niitakayamensis,玉山假沙梨
